NM_MUN,CD_MUN,TOT_POP,ABS_POP_BRANCA,ABS_POP_PRETA,ABS_POP_AMARELA,ABS_POP_PARDA,ABS_POP_INDIGENA,IGNORADOS,PERC_BRANCA,PERC_PRETA,PERC_AMARELA,PERC_PARDA,PERC_INDIGENA,ABS_INDIGENA_COR_RACA,PERC_INDIGENA_COR_RACA
Epitaciolândia,  1 200 252 ,   18 757,   3 435,   1 464,14,   13 818,26,0,"18,3","7,8","0,1","73,7","0,1",    26 ,"0,1"
Feijó,  1 200 302 ,   35 426,   7 781,   2 316,24,   21 113,   4 191,1,"22,0","6,5","0,1","59,6","11,8",   4 436 ,"12,5"
Jordão,  1 200 328 ,   9 222,   1 018,543,10,   3 859,   3 792,0,"11,0","5,9","0,1","41,8","41,1",   4 115 ,"44,6"
Mâncio Lima,  1 200 336 ,   19 294,   2 942,   1 265,39,   12 991,   2 057,0,"15,2","6,6","0,2","67,3","10,7",   2 822 ,"14,6"
Manoel Urbano,  1 200 344 ,   11 996,   1 838,   1 503,14,   7 685,955,1,"15,3","12,5","0,1","64,1","8,0",    962 ,"8,0"
Marechal Thaumaturgo,  1 200 351 ,   17 093,   2 776,   1 233,48,   10 059,   2 977,0,"16,2","7,2","0,3","58,8","17,4",   3 355 ,"19,6"
Plácido de Castro,  1 200 385 ,   16 560,   3 500,   1 603,28,   11 377,52,0,"21,1","9,7","0,2","68,7","0,3",    52 ,"0,3"
Porto Walter,  1 200 393 ,   10 735,   2 319,553,5,   7 077,781,0,"21,6","5,2","0,0","65,9","7,3",    868 ,"8,1"
Rio Branco,  1 200 401 ,   364 756,   88 817,   34 518,   1 089,   238 568,   1 762,2,"24,3","9,5","0,3","65,4","0,5",   1 827 ,"0,5"
Rodrigues Alves,  1 200 427 ,   14 938,   2 667,   1 151,57,   10 986,77,0,"17,9","7,7","0,4","73,5","0,5",    85 ,"0,6"
Santa Rosa do Purus,  1 200 435 ,   6 723,517,88,1,   1 864,   4 253,0,"7,7","1,3","0,0","27,7","63,3",   4 297 ,"63,9"
Senador Guiomard,  1 200 450 ,   21 454,   4 060,   1 945,44,   15 371,34,0,"18,9","9,1","0,2","71,6","0,2",    34 ,"0,2"
Sena Madureira,  1 200 500 ,   41 343,   6 484,   2 122,38,   31 117,   1 582,0,"15,7","5,1","0,1","75,3","3,8",   1 681 ,"4,1"
Tarauacá,  1 200 609 ,   43 467,   8 268,   3 390,58,   28 419,   3 330,2,"19,0","7,8","0,1","65,4","7,7",   3 775 ,"8,7"
Xapuri,  1 200 708 ,   18 243,   3 131,   1 460,40,   13 570,42,0,"17,2","8,0","0,2","74,4","0,2",    43 ,"0,2"
Porto Acre,  1 200 807 ,   16 693,   3 488,   2 175,55,   10 894,81,0,"20,9","13,0","0,3","65,3","0,5",    82 ,"0,5"
Alvarães,  1 300 029 ,   15 866,   1 040,456,2,   11 393,   2 975,0,"6,6","2,9","0,0","71,8","18,8",   5 589 ,"35,2"
Amaturá,  1 300 060 ,   10 819,294,370,1,   4 023,   6 131,0,"2,7","3,4","0,0","37,2","56,7",   9 948 ,"91,9"
Anamã,  1 300 086 ,   9 962,   1 265,275,2,   7 772,648,0,"12,7","2,8","0,0","78,0","6,5",    971 ,"9,7"
Anori,  1 300 102 ,   17 194,   1 979,   1 061,7,   13 715,432,0,"11,5","6,2","0,0","79,8","2,5",    512 ,"3,0"
Apuí,  1 300 144 ,   20 647,   5 385,   1 774,71,   13 109,308,0,"26,1","8,6","0,3","63,5","1,5",    579 ,"2,8"
Atalaia do Norte,  1 300 201 ,   15 314,   1 496,536,9,   6 166,   7 107,0,"9,8","3,5","0,1","40,3","46,4",   7 774 ,"50,8"
Autazes,  1 300 300 ,   41 564,   4 456,934,25,   20 650,   15 499,0,"10,7","2,2","0,1","49,7","37,3",   20 447 ,"49,2"
Barcelos,  1 300 409 ,   18 834,   1 140,481,15,   7 330,   9 868,0,"6,1","2,6","0,1","38,9","52,4",   14 178 ,"75,3"
Barreirinha,  1 300 508 ,   31 051,   2 576,   2 605,13,   19 700,   6 157,0,"8,3","8,4","0,0","63,4","19,8",   8 278 ,"26,7"
Benjamin Constant,  1 300 607 ,   37 648,   2 381,   1 248,4,   19 428,   14 587,0,"6,3","3,3","0,0","51,6","38,7",   17 811 ,"47,3"
Beruri,  1 300 631 ,   20 718,   2 365,766,6,   15 584,   1 997,0,"11,4","3,7","0,0","75,2","9,6",   2 734 ,"13,2"
Boa Vista do Ramos,  1 300 680 ,   23 785,923,297,7,   22 045,513,0,"3,9","1,2","0,0","92,7","2,2",   1 546 ,"6,5"
Boca do Acre,  1 300 706 ,   35 447,   8 110,   2 366,47,   23 035,   1 889,0,"22,9","6,7","0,1","65,0","5,3",   3 145 ,"8,9"
Borba,  1 300 805 ,   33 080,   3 449,   1 052,28,   22 094,   6 457,0,"10,4","3,2","0,1","66,8","19,5",   9 394 ,"28,4"
Caapiranga,  1 300 839 ,   13 469,   1 580,400,3,   11 446,38,2,"11,7","3,0","0,0","85,0","0,3",    755 ,"5,6"
Canutama,  1 300 904 ,   16 869,   3 202,676,8,   11 836,   1 144,3,"19,0","4,0","0,0","70,2","6,8",   2 625 ,"15,6"
Carauari,  1 301 001 ,   28 742,   5 464,   1 895,10,   20 935,437,1,"19,0","6,6","0,0","72,8","1,5",   1 639 ,"5,7"
Careiro,  1 301 100 ,   30 792,   5 563,   1 523,53,   22 627,   1 026,0,"18,1","4,9","0,2","73,5","3,3",   3 351 ,"10,9"
Careiro da Várzea,  1 301 159 ,   19 637,   3 164,   1 019,21,   14 234,   1 198,1,"16,1","5,2","0,1","72,5","6,1",   2 456 ,"12,5"
Coari,  1 301 209 ,   70 616,   8 751,   4 135,82,   53 282,   4 364,2,"12,4","5,9","0,1","75,5","6,2",   9 652 ,"13,7"
Codajás,  1 301 308 ,   23 549,   3 104,   1 029,6,   19 370,40,0,"13,2","4,4","0,0","82,3","0,2",    76 ,"0,3"
Eirunepé,  1 301 407 ,   33 170,   6 302,   2 449,10,   22 485,   1 923,1,"19,0","7,4","0,0","67,8","5,8",   2 796 ,"8,4"
Envira,  1 301 506 ,   17 186,   4 394,   1 097,2,   10 679,   1 013,1,"25,6","6,4","0,0","62,1","5,9",   1 263 ,"7,3"
Fonte Boa,  1 301 605 ,   25 871,   2 792,   1 239,3,   18 445,   3 390,2,"10,8","4,8","0,0","71,3","13,1",   7 796 ,"30,1"
Guajará,  1 301 654 ,   13 815,   3 042,788,11,   9 878,96,0,"22,0","5,7","0,1","71,5","0,7",    331 ,"2,4"
Humaitá,  1 301 704 ,   57 473,   12 418,   3 617,61,   38 433,   2 944,0,"21,6","6,3","0,1","66,9","5,1",   4 754 ,"8,3"
Ipixuna,  1 301 803 ,   24 311,   4 456,   1 143,26,   16 536,   2 148,2,"18,3","4,7","0,1","68,0","8,8",   2 337 ,"9,6"
Iranduba,  1 301 852 ,   61 163,   9 967,   3 510,124,   46 690,872,0,"16,3","5,7","0,2","76,3","1,4",   2 490 ,"4,1"
Itacoatiara,  1 301 902 ,   103 598,   16 291,   5 016,107,   80 309,   1 872,3,"15,7","4,8","0,1","77,5","1,8",   8 010 ,"7,7"
Itamarati,  1 301 951 ,   10 937,   2 163,533,4,   6 336,   1 901,0,"19,8","4,9","0,0","57,9","17,4",   1 953 ,"17,9"
Itapiranga,  1 302 009 ,   10 162,   1 501,348,15,   8 234,64,0,"14,8","3,4","0,1","81,0","0,6",    327 ,"3,2"
Japurá,  1 302 108 ,   8 858,942,499,1,   5 456,   1 959,1,"10,6","5,6","0,0","61,6","22,1",   2 608 ,"29,4"
Juruá,  1 302 207 ,   10 742,   1 344,943,8,   7 682,765,0,"12,5","8,8","0,1","71,5","7,1",   1 211 ,"11,3"
Jutaí,  1 302 306 ,   25 172,   2 002,628,11,   16 901,   5 630,0,"8,0","2,5","0,0","67,1","22,4",   8 171 ,"32,5"
Lábrea,  1 302 405 ,   45 448,   7 306,   2 043,47,   27 778,   8 274,0,"16,1","4,5","0,1","61,1","18,2",   12 045 ,"26,5"
Manacapuru,  1 302 504 ,   101 883,   12 620,   3 898,48,   84 487,830,0,"12,4","3,8","0,0","82,9","0,8",   3 825 ,"3,8"
Manaquiri,  1 302 553 ,   17 107,   2 154,711,14,   13 228,   1 000,0,"12,6","4,2","0,1","77,3","5,8",   2 120 ,"12,4"
Manaus,  1 302 603 ,  2 063 689,   489 674,   115 141,   4 463,  1 435 484,   18 854,73,"23,7","5,6","0,2","69,6","0,9",   71 691 ,"3,5"
Manicoré,  1 302 702 ,   53 914,   9 367,   2 105,44,   38 828,   3 570,0,"17,4","3,9","0,1","72,0","6,6",   8 285 ,"15,4"
Maraã,  1 302 801 ,   15 529,   1 448,773,9,   11 265,   2 032,2,"9,3","5,0","0,1","72,6","13,1",   3 044 ,"19,6"
Maués,  1 302 900 ,   61 204,   5 030,   1 405,34,   46 630,   8 105,0,"8,2","2,3","0,1","76,2","13,2",   11 399 ,"18,6"
Nhamundá,  1 303 007 ,   20 136,   1 437,347,4,   17 358,990,0,"7,1","1,7","0,0","86,2","4,9",   1 070 ,"5,3"
Nova Olinda do Norte,  1 303 106 ,   27 062,   3 207,933,13,   19 516,   3 393,0,"11,9","3,4","0,0","72,1","12,5",   7 107 ,"26,3"
Novo Airão,  1 303 205 ,   15 761,   1 763,   1 076,12,   10 083,   2 827,0,"11,2","6,8","0,1","64,0","17,9",   4 871 ,"30,9"
Novo Aripuanã,  1 303 304 ,   23 818,   3 023,   1 306,6,   19 036,447,0,"12,7","5,5","0,0","79,9","1,9",   1 153 ,"4,8"
Parintins,  1 303 403 ,   96 372,   10 507,   3 176,126,   80 602,   1 956,5,"10,9","3,3","0,1","83,6","2,0",   5 653 ,"5,9"
Pauini,  1 303 502 ,   19 373,   2 866,922,7,   12 664,   2 914,0,"14,8","4,8","0,0","65,4","15,0",   3 973 ,"20,5"
Presidente Figueiredo,  1 303 536 ,   30 668,   5 672,   1 863,47,   22 279,806,1,"18,5","6,1","0,2","72,6","2,6",   1 291 ,"4,2"
Rio Preto da Eva,  1 303 569 ,   24 936,   4 083,   1 712,33,   18 348,760,0,"16,4","6,9","0,1","73,6","3,0",   1 456 ,"5,8"
Santa Isabel do Rio Negro,  1 303 601 ,   14 164,232,196,11,   1 709,   12 016,0,"1,6","1,4","0,1","12,1","84,8",   13 622 ,"96,2"
Santo Antônio do Içá,  1 303 700 ,   28 211,   1 136,444,2,   12 311,   14 318,0,"4,0","1,6","0,0","43,6","50,8",   18 882 ,"66,9"
São Gabriel da Cachoeira,  1 303 809 ,   51 795,   1 682,446,12,   3 732,   45 919,4,"3,2","0,9","0,0","7,2","88,7",   48 256 ,"93,2"
São Paulo de Olivença,  1 303 908 ,   32 967,784,307,6,   11 979,   19 890,1,"2,4","0,9","0,0","36,3","60,3",   26 619 ,"80,7"
São Sebastião do Uatumã,  1 303 957 ,   11 670,   1 974,295,11,   9 333,57,0,"16,9","2,5","0,1","80,0","0,5",    308 ,"2,6"
Silves,  1 304 005 ,   11 559,   1 055,741,5,   9 290,466,2,"9,1","6,4","0,0","80,4","4,0",   1 066 ,"9,2"
Tabatinga,  1 304 062 ,   66 764,   6 569,   1 871,69,   30 735,   27 518,2,"9,8","2,8","0,1","46,0","41,2",   34 497 ,"51,7"
Tapauá,  1 304 104 ,   19 599,   2 396,   1 033,2,   13 369,   2 797,2,"12,2","5,3","0,0","68,2","14,3",   3 652 ,"18,6"
Tefé,  1 304 203 ,   73 669,   6 630,   2 785,42,   56 419,   7 790,3,"9,0","3,8","0,1","76,6","10,6",   20 394 ,"27,7"
Tonantins,  1 304 237 ,   19 247,708,255,- ,   10 931,   7 353,0,"3,7","1,3","0,0","56,8","38,2",   10 656 ,"55,4"
Uarini,  1 304 260 ,   14 431,   1 148,256,10,   10 282,   2 734,1,"8,0","1,8","0,1","71,3","18,9",   3 627 ,"25,1"
Urucará,  1 304 302 ,   18 631,   2 033,326,17,   16 061,194,0,"10,9","1,7","0,1","86,2","1,0",   1 140 ,"6,1"
Urucurituba,  1 304 401 ,   23 945,   3 202,593,66,   20 043,41,0,"13,4","2,5","0,3","83,7","0,2",   1 726 ,"7,2"
Amajari,  1 400 027 ,   13 927,978,519,13,   3 293,   9 124,0,"7,0","3,7","0,1","23,6","65,5",   9 681 ,"69,5"
Alto Alegre,  1 400 050 ,   21 096,   1 607,698,5,   6 479,   12 307,0,"7,6","3,3","0,0","30,7","58,3",   12 731 ,"60,3"
Boa Vista,  1 400 100 ,   413 486,   102 242,   35 139,606,   256 902,   18 228,369,"24,7","8,5","0,1","62,2","4,4",   20 410 ,"4,9"
Bonfim,  1 400 159 ,   13 923,   1 008,534,6,   6 341,   6 034,0,"7,2","3,8","0,0","45,5","43,3",   6 468 ,"46,5"
Cantá,  1 400 175 ,   18 682,   2 504,   1 145,5,   10 536,   4 492,0,"13,4","6,1","0,0","56,4","24,0",   5 234 ,"28,0"
Caracaraí,  1 400 209 ,   20 957,   3 380,   1 782,51,   14 507,   1 237,0,"16,1","8,5","0,2","69,2","5,9",   1 273 ,"6,1"
Caroebe,  1 400 233 ,   10 656,   2 424,   1 057,2,   6 363,810,0,"22,7","9,9","0,0","59,7","7,6",    810 ,"7,6"
Iracema,  1 400 282 ,   10 023,   1 388,989,10,   5 902,   1 734,0,"13,8","9,9","0,1","58,9","17,3",   1 745 ,"17,4"
Mucajaí,  1 400 308 ,   18 095,   3 166,   1 300,7,   12 888,734,0,"17,5","7,2","0,0","71,2","4,1",    740 ,"4,1"
Normandia,  1 400 407 ,   13 986,415,135,2,   2 788,   10 646,0,"3,0","1,0","0,0","19,9","76,1",   12 460 ,"89,1"
Pacaraima,  1 400 456 ,   19 305,   2 655,902,7,   4 871,   10 147,723,"14,3","4,9","0,0","26,2","54,6",   11 430 ,"59,2"
Rorainópolis,  1 400 472 ,   32 647,   5 988,   3 015,50,   22 762,832,0,"18,3","9,2","0,2","69,7","2,5",    833 ,"2,6"
São João da Baliza,  1 400 506 ,   8 858,   1 855,   1 030,5,   5 429,539,0,"20,9","11,6","0,1","61,3","6,1",    539 ,"6,1"
São Luiz,  1 400 605 ,   7 315,   1 514,899,12,   4 860,30,0,"20,7","12,3","0,2","66,4","0,4",    31 ,"0,4"
Uiramutã,  1 400 704 ,   13 751,136,51,3,573,   12 988,0,"1,0","0,4","0,0","4,2","94,5",   13 283 ,"96,6"
Abaetetuba,  1 500 107 ,   158 188,   29 624,   15 895,107,   112 187,83,292,"18,8","10,1","0,1","71,1","0,1",    93 ,"0,1"
Abel Figueiredo,  1 500 131 ,   6 136,   1 228,640,- ,   4 258,10,0,"19,5","11,2","0,0","69,1","0,1",    10 ,"0,1"
Acará,  1 500 206 ,   59 023,   5 684,   8 503,65,   44 748,23,0,"9,6","14,4","0,1","75,8","0,0",    23 ,"0,0"
Afuá,  1 500 305 ,   37 765,   5 470,   2 567,24,   29 690,12,2,"14,5","6,8","0,1","78,6","0,0",    29 ,"0,1"
Água Azul do Norte,  1 500 347 ,   18 080,   4 451,   1 829,13,   11 609,176,2,"24,6","10,1","0,1","64,2","1,0",    176 ,"1,0"
Alenquer,  1 500 404 ,   69 377,   10 431,   5 405,41,   53 463,36,1,"15,0","7,8","0,1","77,1","0,1",    36 ,"0,1"
Almeirim,  1 500 503 ,   34 280,   5 102,   2 583,12,   25 498,   1 085,0,"14,9","7,5","0,0","74,4","3,2",   1 088 ,"3,2"
Altamira,  1 500 602 ,   126 279,   29 118,   12 939,329,   77 948,   5 944,1,"23,1","10,2","0,3","61,7","4,7",   6 194 ,"4,9"
Anajás,  1 500 701 ,   28 011,   3 900,   1 610,8,   22 488,5,0,"13,9","5,7","0,0","80,3","0,0",    5 ,"0,0"
Ananindeua,  1 500 800 ,   478 778,   112 106,   53 576,949,   311 624,508,15,"23,4","11,2","0,2","65,1","0,1",    508 ,"0,1"
Anapu,  1 500 859 ,   31 850,   6 182,   3 497,215,   21 015,941,0,"19,4","11,0","0,7","66,0","3,0",    944 ,"3,0"
Augusto Corrêa,  1 500 909 ,   44 573,   5 022,   1 430,8,   38 105,8,0,"11,3","3,2","0,0","85,5","0,0",    20 ,"0,0"
Aurora do Pará,  1 500 958 ,   23 774,   3 005,   2 617,18,   18 085,49,0,"12,6","11,0","0,1","76,1","0,2",    59 ,"0,2"
Aveiro,  1 501 006 ,   18 290,   1 720,   1 004,18,   12 581,   2 967,0,"9,4","5,5","0,1","68,8","16,2",   3 208 ,"17,5"
Bagre,  1 501 105 ,   31 892,   3 185,   2 974,6,   25 726,1,0,"10,0","9,3","0,0","80,7","0,0",    1 ,"0,0"
Baião,  1 501 204 ,   51 641,   5 955,   11 813,12,   33 810,51,0,"11,5","22,9","0,0","65,5","0,1",    52 ,"0,1"
Bannach,  1 501 253 ,   4 031,726,414,8,   2 667,216,0,"18,0","10,3","0,2","66,2","5,4",    216 ,"5,4"
Barcarena,  1 501 303 ,   126 650,   22 494,   10 492,234,   93 144,284,2,"17,8","8,3","0,2","73,5","0,2",    292 ,"0,2"
Belém,  1 501 402 ,  1 303 403,   342 476,   149 395,   3 298,   806 103,   2 069,62,"26,3","11,5","0,3","61,8","0,2",   2 125 ,"0,2"
Belterra,  1 501 451 ,   18 099,   2 394,937,52,   14 012,704,0,"13,2","5,2","0,3","77,4","3,9",   1 795 ,"9,9"
Benevides,  1 501 501 ,   63 567,   12 040,   6 258,119,   45 082,68,0,"18,9","9,8","0,2","70,9","0,1",    68 ,"0,1"
Bom Jesus do Tocantins,  1 501 576 ,   18 005,   3 963,   1 314,18,   11 633,   1 077,0,"22,0","7,3","0,1","64,6","6,0",   1 130 ,"6,3"
Bonito,  1 501 600 ,   12 622,   2 075,680,9,   9 856,2,0,"16,4","5,4","0,1","78,1","0,0",    2 ,"0,0"
Bragança,  1 501 709 ,   123 082,   16 431,   5 413,57,   101 085,94,2,"13,3","4,4","0,0","82,1","0,1",    100 ,"0,1"
Brasil Novo,  1 501 725 ,   24 718,   5 996,   2 850,21,   15 457,393,1,"24,3","11,5","0,1","62,5","1,6",    395 ,"1,6"
Brejo Grande do Araguaia,  1 501 758 ,   6 783,   1 140,782,5,   4 774,82,0,"16,8","11,5","0,1","70,4","1,2",    82 ,"1,2"
Breu Branco,  1 501 782 ,   45 712,   7 787,   5 254,49,   32 526,96,0,"17,0","11,5","0,1","71,2","0,2",    107 ,"0,2"
Breves,  1 501 808 ,   106 968,   15 892,   7 566,118,   83 288,104,0,"14,9","7,1","0,1","77,9","0,1",    823 ,"0,8"
Bujaru,  1 501 907 ,   24 383,   2 546,   3 060,19,   18 732,26,0,"10,4","12,5","0,1","76,8","0,1",    26 ,"0,1"
